amount,balance,cancelYn,date,storeId,transactionId
58802,321,N,2021-01-01,5460431,cc07167a-c20-4589-9548-000000000000
93951,209,Y,2021-02-02,2033931,cc17167a-c21-4589-9548-000000000001
41707,884,Y,2021-03-03,595361,cc27167a-c22-4589-9548-000000000002
33832,693,Y,2021-04-04,5603431,cc37167a-c23-4589-9548-000000000003
96875,999,Y,2021-05-05,6717131,cc47167a-c24-4589-9548-000000000004
98938,334,N,2021-06-06,5460431,cc57167a-c25-4589-9548-000000000005
71892,195,Y,2021-07-07,2033931,cc67167a-c26-4589-9548-000000000006
64831,17,Y,2021-08-08,595361,cc77167a-c27-4589-9548-000000000007
5619,217,Y,2021-09-09,5603431,cc87167a-c28-4589-9548-000000000008
55722,985,Y,2021-10-10,6717131,cc97167a-c29-4589-9548-000000000009
90535,767,Y,2021-11-11,5460431,cc07167a-c20-4589-9548-000000000010
37673,387,N,2021-12-12,2033931,cc17167a-c21-4589-9548-000000000011
9006,300,Y,2021-01-13,595361,cc27167a-c22-4589-9548-000000000012
46108,156,N,2021-02-14,5603431,cc37167a-c23-4589-9548-000000000013
14444,166,Y,2021-03-15,6717131,cc47167a-c24-4589-9548-000000000014
29060,377,Y,2021-04-16,5460431,cc57167a-c25-4589-9548-000000000015
68101,676,Y,2021-05-17,2033931,cc67167a-c26-4589-9548-000000000016
64195,955,N,2021-06-18,595361,cc77167a-c27-4589-9548-000000000017
21548,449,N,2021-07-19,5603431,cc87167a-c28-4589-9548-000000000018
6213,522,Y,2021-08-20,6717131,cc97167a-c29-4589-9548-000000000019
49044,947,N,2021-09-21,5460431,cc07167a-c20-4589-9548-000000000020
23733,816,N,2021-10-22,2033931,cc17167a-c21-4589-9548-000000000021
34679,718,Y,2021-11-23,595361,cc27167a-c22-4589-9548-000000000022
81730,862,N,2021-12-24,5603431,cc37167a-c23-4589-9548-000000000023
76000,471,N,2021-01-25,6717131,cc47167a-c24-4589-9548-000000000024
23126,171,Y,2021-02-26,5460431,cc57167a-c25-4589-9548-000000000025
4178,333,Y,2021-03-27,2033931,cc67167a-c26-4589-9548-000000000026
6233,374,Y,2021-04-28,595361,cc77167a-c27-4589-9548-000000000027
67368,474,N,2021-05-01,5603431,cc87167a-c28-4589-9548-000000000028
88393,59,Y,2021-06-02,6717131,cc97167a-c29-4589-9548-000000000029
50573,706,N,2021-07-03,5460431,cc07167a-c20-4589-9548-000000000030
